name,rate,location,cuisines,cost_for_two,type
Amruth Parkland,3.5,Sarjapur Road,"North Indian, Chinese",900,Pubs and bars
Sri Vishnu Garden Family Bar & Restaurant,3.7,Sarjapur Road,"North Indian, South Indian, Chinese, Hyderabadi",700,Pubs and bars
Chili's American Grill & Bar,4.6,Bellandur,"American, Tex-Mex, Burger, BBQ",1800,Pubs and bars
TherPUP - a Dog Cafe,4.2,Whitefield,Cafe,700,Cafes
Cafesta,4.3,Whitefield,"Cafe, Italian, Fast Food, Desserts",550,Cafes
Glen's Bakehouse,4.2,Whitefield,"Bakery, Cafe, Italian, Desserts",600,Cafes
Enchanted Garden,4.3,Whitefield,"North Indian, Continental, Italian, Cafe, Pizza, Finger Food",1400,Cafes
Stoner,4.3,Whitefield,"Ice Cream, Cafe, Pizza, Burger, Desserts, Beverages",500,Cafes
Beyond Elements,4.1,Whitefield,"Cafe, Italian, Pizza, North Indian",900,Cafes
Orzuv,3.7,Whitefield,"Kashmiri, Cafe",1100,Cafes
Smoor,4.4,Whitefield,"Desserts, Cafe, Continental",700,Cafes
Onesta,4.4,Whitefield,"Pizza, Cafe, Italian",600,Cafes
Barley & Grapes Cafe,4.2,Whitefield,"Cafe, Italian, Continental",1000,Cafes
Lot Like Crepes & Cafe,4,Whitefield,"Cafe, Continental, Desserts",600,Cafes
Boondock Bistro,3.9,Whitefield,"Steak, Continental, American, Italian, Salad, Cafe",900,Cafes
Blue Tokai Coffee Roasters,4,Whitefield,Cafe,750,Cafes
Oregano Soul Food,4,Whitefield,Cafe,700,Cafes
Kalmane Koffees,3.9,Whitefield,Cafe,350,Cafes
Third Wave Coffee Roasters,3.9,Whitefield,"Cafe, Continental, Desserts",800,Cafes
Imperio Cafe,3.9,Whitefield,"South Indian, Fast Food, Beverages",200,Cafes
Chef Baker's,3.8,Whitefield,"Bakery, Desserts, Cafe, Italian, Pizza",400,Cafes
Cafe Coffee Day,3.6,Whitefield,Cafe,650,Cafes
Hodge Podge,3.6,Whitefield,"Desserts, Cafe",300,Cafes
Biggies Burger 'n' More,3.7,Whitefield,"Cafe, Burger, Fast Food",400,Cafes
Butterly Cafe,3.1,Whitefield,Cafe,550,Cafes
The Waverly Express,3.5,Whitefield,Cafe,650,Cafes
Tata Cha,3.7,Whitefield,"Cafe, Tea, North Indian",500,Cafes
Cuppa,3.3,Whitefield,"Fast Food, Street Food, Beverages",400,Cafes
Beaten Coffee,3.7,Whitefield,"Chinese, Cafe",200,Cafes
The Coffee Bean & Tea Leaf,3,Whitefield,"Cafe, Coffee",700,Cafes
Chaai Resto,3.5,Brookefield,"Cafe, Rolls, Fast Food",200,Cafes
Potful,3.7,Whitefield,"Biryani, Kebab, Rolls, Mughlai",650,Delivery
Shanmukha,3.9,Whitefield,"Biryani, Andhra, North Indian, Chinese",800,Delivery
Al-Bek,3.9,Whitefield,"Biryani, North Indian, Charcoal Chicken, Chinese, Seafood, Rolls",450,Delivery
Burger King,4,Whitefield,"Burger, Fast Food, Beverages",600,Delivery
Indiana Burgers,3.3,Whitefield,Burger,300,Delivery
Imperio Restaurant,4.3,Whitefield,"North Indian, Arabian, Mughlai, Biryani, Seafood, Beverages",700,Delivery
Kitchens@Mahadevpura,3.9,Whitefield,"Italian, North Indian, South Indian, Chinese",600,Delivery
Chatpatlal Sweets & Snacks,4.1,Marathahalli,"Street Food, Mithai, North Indian, Beverages, Desserts",200,Delivery
Friend's Own,3.2,Whitefield,"North Indian, Bengali, Chinese",300,Delivery
Juice Berg,4,Whitefield,"Bakery, Desserts",500,Delivery
Corner House Ice Cream,4.5,Whitefield,"Ice Cream, Desserts",400,Delivery
The Good Bowl,3.6,Whitefield,"Italian, North Indian, Biryani",500,Delivery
Sri Sai Palace,3.8,Whitefield,"South Indian, North Indian, Chinese, Fast Food",300,Delivery
Onesta,4.4,Whitefield,"Pizza, Cafe, Italian",600,Delivery
Rivayat,3.9,Whitefield,"North Indian, Mughlai",800,Delivery
Kanti Sweets,3.9,Whitefield,"Mithai, Street Food",400,Delivery
Woodfire Biryani,3.4,Whitefield,"North Indian, South Indian, Biryani",250,Delivery
Rolls Mania,3.8,Whitefield,"Rolls, Fast Food",450,Delivery
Paradise,4,Whitefield,"Biryani, North Indian, Kebab",800,Delivery
Vijayas Biryani Palace,3.8,Whitefield,"Biryani, Chinese, South Indian, North Indian",400,Delivery
Food Mood,3.7,Whitefield,"North Indian, Chinese",350,Delivery
Sri Udupi Park,3.8,Whitefield,"South Indian, North Indian, Chinese, Beverages",300,Delivery
KFC,3.5,Whitefield,"Burger, Fast Food",450,Delivery
Abhiruchi Restaurant,3.7,Whitefield,"Biryani, Andhra, North Indian, Chinese",550,Delivery
Five Star Chicken,3.8,Brookefield,Fast Food,200,Delivery
Donne Biryani Mane,3.5,Whitefield,Biryani,300,Delivery
Biryani House,3.7,Whitefield,"Andhra, North Indian, Chinese",600,Delivery
Faasos,4,Whitefield,"North Indian, Biryani, Fast Food",500,Delivery
Ovenstory Pizza,4,Whitefield,Pizza,800,Delivery
Behrouz Biryani,4,Whitefield,Biryani,650,Delivery
MRA,3.8,Whitefield,Bakery,200,Delivery
Basmati's Briyani Nation,3.6,Whitefield,"South Indian, Biryani",350,Delivery
Galito's,4.6,Whitefield,"African, Burger, Desserts, Beverages, Fast Food",1000,Delivery
Andhra Ruchi's Restaurant,3.1,Whitefield,"Andhra, North Indian, Biryani",500,Delivery
Udupi Cafe,3.6,Whitefield,"South Indian, North Indian, Chinese, Street Food",300,Delivery
Mojo Pizza - 2X Toppings,4.2,Whitefield,Pizza,600,Delivery
Juice Shop,3.6,Whitefield,"Juices, Beverages, Ice Cream",150,Delivery
Not Just Waffles,4.2,Brookefield,"Desserts, Ice Cream",400,Delivery
Thalassery Restaurant,2.9,Whitefield,"Kerala, Biryani, South Indian, North Indian, Chinese, Arabian, Beverages",500,Delivery
Firangi Bake,4.1,Whitefield,"Mexican, Italian",600,Delivery
Chandrika Tiffins,4,Whitefield,"North Indian, Street Food",300,Delivery
Simhapuri Kitchen,3.9,Brookefield,"Andhra, Biryani, Chinese, South Indian",800,Delivery
Slurpy Shakes,3.7,Whitefield,Beverages,300,Delivery
Food Singh,3.7,Whitefield,North Indian,500,Delivery
S'Mack,3.7,Whitefield,"Rolls, Sandwich",300,Delivery
Samosa Singh,3.7,Whitefield,"North Indian, Mithai",250,Delivery
Lenny's- Burgers and more,3.9,Whitefield,"Fast Food, Burger, Beverages, Rolls, Sandwich",400,Delivery
Arogya Thaana,3.8,Whitefield,"Beverages, Sandwich",200,Delivery
Mani's Dum Biryani,4,Whitefield,"Biryani, Andhra",750,Delivery
Boondock Bistro,3.9,Whitefield,"Steak, Continental, American, Italian, Salad, Cafe",900,Delivery
Chai Point,3.9,Brookefield,"Fast Food, Beverages",250,Delivery
Lassi Shop,3.9,Whitefield,"Beverages, Ice Cream",200,Delivery
Sweet Truth,3.8,Whitefield,"Bakery, Desserts",500,Delivery
Red Rhino,4.4,Whitefield,"Continental, Mediterranean, South Indian, North Indian, Asian",1700,Delivery
One For The Road,4.1,Whitefield,"Continental, North Indian, Finger Food",1200,Delivery
Bombay Sandwich Company,3.4,Whitefield,"Sandwich, Beverages",400,Delivery
Punjab Grill,4.8,Whitefield,North Indian,2000,Delivery
Khan Saheb Grills and Rolls,3.8,Whitefield,"Fast Food, Rolls",400,Delivery
Chili's American Grill & Bar,4.6,Whitefield,"American, Tex-Mex, Burger, BBQ, Mexican",1400,Delivery
Chef Baker's,4,Brookefield,Bakery,450,Delivery
Krispy Kreme,4,Whitefield,"Desserts, Beverages",300,Delivery
Hyderabad Biryani,3.2,Whitefield,"North Indian, Chinese, Biryani",600,Delivery
True South,3.7,Whitefield,Fast Food,200,Delivery
Cafe Coffee Day,3.6,Whitefield,Cafe,650,Delivery
Estaa Sweets,3.5,Whitefield,Mithai,300,Delivery
Kababji Cafe,3.7,Whitefield,"Biryani, Rolls, Middle Eastern, Arabian",300,Delivery
Lassi Corner,3.3,Whitefield,"Beverages, Desserts",200,Delivery
Nagas,2.9,Whitefield,"Andhra, Hyderabadi, North Indian",300,Delivery
Abhiruchi Andhra Mess,3.1,Whitefield,"Andhra, Biryani, South Indian",300,Delivery
Mad Over Donuts,4.2,Whitefield,"Bakery, Desserts, Beverages",450,Delivery
Kolkata Biryani Center,3.8,Whitefield,Biryani,250,Delivery
Pita Pit,3.9,Whitefield,"Healthy Food, Salad, Mexican, Beverages",500,Delivery
Nasi And Mee,4.4,Whitefield,"Malaysian, Thai, Singaporean, Asian, Chinese, Momos",1000,Delivery
KA53,3.9,Whitefield,"North Indian, Chinese",300,Delivery
Smoor,4.4,Whitefield,"Desserts, Cafe, Continental",700,Delivery
Biryani Express,3.7,Whitefield,"Biryani, North Indian",600,Delivery
The Grilled & Fried,3.3,Whitefield,Fast Food,300,Delivery
YumYumDilli,3.4,Whitefield,North Indian,500,Delivery
Lenny's Burgers,3.7,Whitefield,"Burger, Fast Food",500,Delivery
Ooh La La,3.7,Whitefield,"North Indian, Biryani",500,Delivery
Keventers,2.9,Whitefield,"Beverages, Desserts, Ice Cream",400,Delivery
Cake Dilim,3.7,Brookefield,"Bakery, Desserts",400,Delivery
The Litti Company,3.5,Whitefield,Bihari,400,Delivery
Reddy's Restaurant,3.1,Whitefield,"Andhra, Biryani, North Indian",400,Delivery
Petuk,3.7,Whitefield,"Bengali, North Indian, Chinese, Biryani",400,Delivery
Andal Mess,3.6,Whitefield,"South Indian, North Indian",300,Delivery
Toscano,4.2,Whitefield,"Italian, Salad",1500,Delivery
Biggies Burger 'n' More,4,Brookefield,"Cafe, Burger, Fast Food",400,Delivery
Rayalaseema Foods,3.3,Whitefield,"Andhra, Hyderabadi, Biryani",400,Delivery
Hotel Uttam Sagar,3.6,Whitefield,North Indian,400,Delivery
Nikhil's Food Court,3.5,Brookefield,"South Indian, North Indian, Chinese, Fast Food",300,Delivery
Chaai Resto,3.5,Brookefield,"Cafe, Rolls, Fast Food",200,Delivery
Nagas,3.4,Whitefield,"Andhra, South Indian, Hyderabadi",500,Delivery
Punjab Bistro,4.2,Whitefield,North Indian,1500,Delivery
Hottey Smokey,3.7,Whitefield,"Asian, Salad, Italian",400,Delivery
Urban Grills Restaurant,3.5,Whitefield,"Arabian, North Indian, Biryani",700,Delivery
Cookie Man,3,Whitefield,Bakery,150,Delivery
Enchanted Garden,4.3,Whitefield,"North Indian, Continental, Italian, Cafe, Pizza, Finger Food",1400,Delivery
Smoodies,3.7,Whitefield,"Beverages, Healthy Food",200,Delivery
Online Cake and Flower.com,3.2,Whitefield,"Bakery, Desserts",500,Delivery
Aryan's Kitchen,3.1,Whitefield,"North Indian, Fast Food",500,Delivery
Rivayat,3.7,Whitefield,"North Indian, Chinese",500,Delivery
Shizusan Shophouse & Bar,4.4,Whitefield,"Asian, Japanese, Vietnamese, Korean, Chinese, Thai",1800,Delivery
The Duke Of Juices,3.7,Whitefield,Beverages,200,Delivery
Thanco's Natural Ice Cream,3.7,Whitefield,"Ice Cream, Desserts",450,Delivery
House Of Candy,3.7,Whitefield,Desserts,200,Delivery
Whitefield Social,4.1,Whitefield,"American, North Indian, Chinese, Finger Food, Momos",1500,Delivery
Premium Bombay Kulfi,3.2,Whitefield,Ice Cream,150,Delivery
Grilliez,3.7,Whitefield,"Continental, BBQ, Beverages",400,Delivery
Hotel Sai Renaissance,3.6,Whitefield,"South Indian, North Indian, Chinese",450,Delivery
Maziga,4.7,Whitefield,Modern Indian,1500,Delivery
The Wok Shop,4.2,Whitefield,"Asian, Chinese, Momos, Fast Food, Indonesian, Korean",500,Delivery
Bakingo,3.4,Marathahalli,"Bakery, Desserts",500,Delivery
Starter House,3.6,Whitefield,"Chinese, Continental",250,Delivery
Foreign Cafƒe,3.6,Whitefield,Continental,500,Delivery
Taste Of India Family Restaurant,3.2,Whitefield,"North Indian, South Indian",400,Delivery
The Whitefield Arms Pub & Microbrewery,4.2,Whitefield,"British, Continental, BBQ",1600,Delivery
Grill Point,2.9,Whitefield,"North Indian, Mughlai, Chinese",500,Delivery
Baskin Robbins,2.9,Whitefield,"Ice Cream, Desserts",250,Delivery
"Vindwashini Bakers, Cake and Florist",3.7,Whitefield,"Bakery, Fast Food",200,Delivery
Hotel Manu Residency,3.8,Whitefield,"Andhra, North Indian, Chinese, Biryani",550,Delivery
Mr. Cane,3.7,Whitefield,Beverages,150,Delivery
Gelato Italiano,3.3,Brookefield,"Ice Cream, Bakery, Desserts",200,Delivery
Kettle & Kegs,3.4,Whitefield,"Tea, Beverages",200,Delivery
Hotel Triloka,3.3,Whitefield,North Indian,400,Delivery
Desi Chai,3.7,Marathahalli,"Tea, Fast Food",300,Delivery
The Beer Cafe,4.1,Whitefield,"Finger Food, North Indian, Chinese, Italian",1400,Delivery
ASIA SEVEN,3.3,Whitefield,Chinese,300,Delivery
Curries and Pickles,3.7,Whitefield,"Andhra, North Indian, Biryani",250,Delivery
China On My Plate,3.7,Whitefield,Chinese,800,Delivery
Anushka Restaurant,3.4,Whitefield,"North Indian, Chinese",600,Delivery
Harry's Bar + Cafe,4.1,Whitefield,"Asian, American, Mexican",1200,Delivery
New Royal Treat,3.7,Whitefield,"North Indian, Chinese",350,Delivery
Angaar Biriyani,3.7,Whitefield,"Biryani, Chinese, Fast Food",400,Delivery
Purani Dehli,2.6,Whitefield,"North Indian, Street Food",600,Delivery
Sherlock's Pub,3.3,Brookefield,"Continental, North Indian, Chinese",1500,Delivery
Foodhall,3.8,Whitefield,"Fast Food, Salad, Desserts",700,Delivery
Treatley,3.1,Whitefield,"North Indian, Fast Food",500,Delivery
Just Bake,3.5,Whitefield,Bakery,400,Delivery
Haagen Dazs,3.9,Whitefield,"Desserts, Ice Cream",800,Delivery
Lemon Krust,4,Whitefield,"Bakery, Fast Food",150,Delivery
Tandooriwala,2.7,Whitefield,"North Indian, Mughlai, Biryani",700,Delivery
Amaravati Authentic Andhra Restaurant,3.1,Brookefield,"Andhra, Chinese, North Indian, Biryani",600,Delivery
Kabab Mandra,2.7,Whitefield,"North Indian, Chinese",300,Delivery
Chinese Street,3.1,Whitefield,Chinese,650,Delivery
Curries And Pickles,3.7,Whitefield,"Andhra, North Indian, Biryani",250,Delivery
Drunken Monkey,3.3,Whitefield,"Beverages, Fast Food",500,Delivery
Dilli Galli,3.6,Whitefield,North Indian,200,Delivery
Inhouse Burger,3.3,Whitefield,"Burger, Salad, Continental",400,Delivery
The Punjabi Park,3.5,Whitefield,North Indian,500,Delivery
Brilram's Balaji Bhavan,3.9,Whitefield,"South Indian, North Indian, Chinese",700,Delivery
The Chefs Specials,3.7,Whitefield,"North Indian, Chinese, Mughlai",400,Delivery
Auntie Fung's,3.8,Whitefield,"Chinese, Vietnamese, Desserts",700,Delivery
Shyam's Lunch Box,3.2,Whitefield,"Biryani, South Indian, Chinese, North Indian",300,Delivery
BelgYum,3.7,Whitefield,Desserts,400,Delivery
Treat Restaurant,2.8,Whitefield,"South Indian, North Indian, Chinese, Kerala",400,Delivery
Krutunga Restaurant,3,Whitefield,"Andhra, Chinese, North Indian, Biryani, Beverages",400,Delivery
Smoke - The Sizzler House,3.6,Whitefield,"Continental, North Indian, Chinese, BBQ",800,Delivery
Master Brothers,3.4,Whitefield,"Desserts, Bakery",450,Delivery
Suryawanshi,4.2,Whitefield,"Maharashtrian, Seafood",700,Delivery
Pindi Bangalore,3.7,Whitefield,"North Indian, Chinese, Biryani, Street Food",900,Delivery
Basmati Restaurant,3.4,Whitefield,"North Indian, South Indian, Chinese, Biryani",350,Delivery
Bakery 24x7,3.7,Whitefield,Desserts,500,Delivery
The Coffee Bean & Tea Leaf,3,Whitefield,"Cafe, Coffee",700,Delivery
The Kim Chi Chef,4,Whitefield,"Chinese, Thai, Momos",900,Delivery
Taishty,3.7,Whitefield,North Indian,200,Delivery
Mist n Creams,3.6,Whitefield,Ice Cream,400,Delivery
Biting Junction,3.9,Whitefield,"Chinese, North Indian, Rajasthani, Gujarati, Fast Food, Afghan",350,Delivery
Rajdhani Thali Restaurant,3.9,Whitefield,"Rajasthani, Gujarati, North Indian",900,Delivery
Burgundy - Royal Orchid Suites,3.9,Whitefield,North Indian,1200,Delivery
The Taste Players,3.7,Whitefield,"North Indian, Chinese, Mughlai, Biryani",500,Delivery
Freshkhilao,3.3,Brookefield,"Chinese, North Indian, Biryani, Juices",750,Delivery
Hyderabad Biryaani House,3.6,Whitefield,"Biryani, North Indian, Chinese",700,Delivery
Bhagini IRIS,3.7,Whitefield,"North Indian, Chinese",600,Delivery
Delhi Walle,3.7,Whitefield,"North Indian, Street Food",300,Delivery
UBQ by Barbeque Nation,3.6,Whitefield,"North Indian, BBQ, Biryani, Kebab",450,Delivery
Kamat Yatrinivas,3,Whitefield,"North Indian, South Indian, Chinese",500,Delivery
Sorse,4.1,Whitefield,"Bengali, Seafood",750,Delivery
The Combo House,3.3,Marathahalli,"Fast Food, North Indian, Chinese, Biryani",500,Delivery
Spicy Andhra,3.2,Whitefield,"Andhra, Chinese, North Indian",500,Delivery
Hyderabad Chefs,4,Whitefield,"Hyderabadi, Andhra, North Indian, Chinese, South Indian",800,Delivery
Dande Hyderabad Biryani,3.4,Whitefield,"Biryani, Andhra, North Indian",500,Delivery
Rolls On Wheels,3.1,Whitefield,"Fast Food, Rolls, Momos",300,Delivery
Alpha - House of Biryani & Tandoor,3.5,Whitefield,"Biryani, North Indian, Chinese",800,Delivery
Kabab Mirchi,3.5,Whitefield,"North Indian, Mughlai, Chinese",350,Delivery
Nandi Mess - Feel Like Mom's,3.7,Whitefield,South Indian,250,Delivery
Lucky Singh & Co,4,Whitefield,"Fast Food, North Indian, Rolls",350,Delivery
Hyderabad Biryani,3.2,Whitefield,Biryani,300,Delivery
SV Restaurant,3.1,Whitefield,"Andhra, North Indian, Chinese, Biryani",550,Delivery
Nisarga Restaurant,3.4,Whitefield,"North Indian, Chinese",300,Delivery
Dhadoom,3.7,Whitefield,"Italian, Mexican, Burger, Fast Food",450,Delivery
Delhi Mahal,3.1,Whitefield,"North Indian, Mughlai, Chinese",400,Delivery
Metrolicious,3.5,Whitefield,"North Indian, Chinese, Biryani",400,Delivery
Salt Mango Tree,4.2,Whitefield,Kerala,1000,Delivery
Noodle Bar,4,Whitefield,"Chinese, Momos",1400,Delivery
Desi Khana,3.3,Whitefield,"North Indian, Chinese",300,Delivery
Temptation,3.7,Whitefield,North Indian,500,Delivery
Orzuv,3.7,Whitefield,"Kashmiri, Cafe",1100,Delivery
Picnik,3.7,Whitefield,"North Indian, Street Food, Beverages",300,Delivery
Sizzles,3.5,Whitefield,"North Indian, Chinese, Continental",800,Delivery
Chulha Chauki Da Dhaba,4.2,Brookefield,North Indian,800,Delivery
Curries And Pickles,3.1,Whitefield,"Andhra, North Indian, Biryani",250,Delivery
Biryani House,3.6,Whitefield,"Biryani, North Indian",450,Delivery
A Southern Fair,3,Whitefield,"Biryani, Seafood, South Indian",750,Delivery
Calvin's,3.9,Whitefield,Desserts,600,Delivery
Maggie Point,3.7,Whitefield,"North Indian, Chinese",300,Delivery
Punjab Junction,3.2,Whitefield,North Indian,350,Delivery
Bangalore Mandarin,4.3,Whitefield,"Chinese, Seafood",1100,Delivery
Amaravati Food Court,3.3,Whitefield,Kerala,300,Delivery
PIZZMO,3.6,Whitefield,"Pizza, Momos",500,Delivery
Jubli Biryani,3.6,Whitefield,"Biryani, Chinese",500,Delivery
Marhaba,3.5,Whitefield,Arabian,500,Delivery
Swadishta,3.4,Whitefield,"South Indian, Chinese, North Indian",200,Delivery
Wang Fu Kitchen,3.8,Whitefield,Chinese,400,Delivery
Real Ambur Dum Biryani,3.3,Whitefield,"Biryani, Fast Food",250,Delivery
Sri Lakshmi Hotel,3.4,Whitefield,"Chinese, South Indian",250,Delivery
Nandhini Deluxe,2.9,Whitefield,North Indian,600,Delivery
Punjabi Park,2.9,Whitefield,"North Indian, Fast Food",400,Delivery
Copper Chimney,4.1,Whitefield,"North Indian, Biryani",1200,Delivery
HIGH SKY,3,Whitefield,"Continental, North Indian, Chinese, Arabian",1000,Delivery
Lot Like Crepes & Cafe,4,Whitefield,"Cafe, Continental, Desserts",600,Delivery
Mangalore Lunch Home,3.5,Whitefield,"North Indian, South Indian, Mangalorean",300,Delivery
Nieghbourhood Cafe,3.7,Whitefield,"Pizza, Italian, Chinese, North Indian",750,Delivery
Captain Egg,4.1,Whitefield,Fast Food,400,Delivery
Snack Itt,3.7,Whitefield,Bakery,200,Delivery
Golden Fork,3.7,Whitefield,"South Indian, Chinese, North Indian",200,Delivery
Cluckees,3.7,Whitefield,Fast Food,300,Delivery
Manbhavan Premium Thali Restaurant,4,Whitefield,"Hyderabadi, Gujarati, Maharashtrian",1000,Delivery
Star Restaurant,3.7,Whitefield,"South Indian, North Indian, Chinese",250,Delivery
Taste Buddies,3.7,Whitefield,"North Indian, Fast Food",400,Delivery
New Suruchi Hotel,3.7,Whitefield,"Bengali, North Indian",200,Delivery
Orbis Market Kitchen,3.7,Whitefield,Arabian,600,Delivery
Elaichi,3.7,Whitefield,"North Indian, Bengali, Oriya",500,Delivery
Taas Foods,3.7,Whitefield,"Chinese, Fast Food, North Indian",250,Delivery
Rara Avis,3.7,Whitefield,"Kerala, Seafood, Biryani, Desserts",400,Delivery
Eat Eroo - Bombay Vada Pav,3.7,Whitefield,"Street Food, Maharashtrian",200,Delivery
Hotel Greens,3.6,Whitefield,"Biryani, Chinese, North Indian, South Indian",800,Delivery
The Lighthouse Cafe,3.6,Whitefield,"American, Italian",650,Delivery
Mubeena Shariff Chocolatier,3.6,Whitefield,Desserts,500,Delivery
Tadka Punjabi Restaurant,3.3,Whitefield,North Indian,300,Delivery
Halftime,3.7,Whitefield,"North Indian, Chinese",200,Delivery
RICE BAR,3.7,Whitefield,"North Indian, Biryani",500,Delivery
La Fabrique de Tartes,3.7,Whitefield,French,300,Delivery
New Kolkata Style Famous Roll,3.7,Whitefield,"North Indian, Rolls",200,Delivery
Nidhish Upahar,3.7,Whitefield,South Indian,200,Delivery
Snacks Centre,3.7,Whitefield,"Fast Food, North Indian",400,Delivery
Taste of Coastal,3.7,Whitefield,"South Indian, North Indian",300,Delivery
YummTumm,3.7,Whitefield,Bakery,250,Delivery
Cane Hut,3.7,Whitefield,"Beverages, Juices, Street Food",100,Delivery
Ruchir Restaurant,3.7,Whitefield,North Indian,150,Delivery
ARB Restaurant,3.7,Whitefield,"Chinese, North Indian",400,Delivery
Chef Cornor,3.7,Whitefield,"North Indian, South Indian, Chinese",400,Delivery
Cake Point,3.7,Whitefield,"Bakery, Desserts",500,Delivery
Mr.Boiler,3.7,Whitefield,"Ice Cream, Juices, Fast Food",250,Delivery
Zesty Tasty,3.7,Whitefield,Fast Food,200,Delivery
Krishu Juice Centre,3.7,Whitefield,"Beverages, Juices",150,Delivery
Sheetals Home Food,3.7,Whitefield,"South Indian, North Indian",250,Delivery
Tata Cha,3.7,Whitefield,"Cafe, Tea, North Indian",500,Delivery
On The Go,3.7,Whitefield,"North Indian, Mughlai, Chinese",400,Delivery
F5,3.2,Whitefield,"North Indian, South Indian, Chinese, Continental, Arabian",300,Delivery
New Andhra Chimney,3.1,Whitefield,"Andhra, North Indian, Biryani",700,Delivery
Sri Guru Nalapaka Restaurant,3.5,Whitefield,"North Indian, South Indian, Chinese, Street Food",550,Delivery
Foodie,2.9,Whitefield,"Chinese, Fast Food",300,Delivery
The Village Restaurant,3,Whitefield,"North Indian, Chinese",200,Delivery
Biryani Bowl,3.3,Whitefield,"Biryani, Andhra",550,Delivery
Biriyani House,3.2,Whitefield,"Andhra, Biryani",350,Delivery
The Eatery Cafe & Restaurant,3.6,Whitefield,"Continental, Italian",800,Delivery
Hotel Nisarga Restaurant,3.2,Whitefield,"Chinese, North Indian",300,Delivery
Golden Food Palace,2.9,Whitefield,"North Indian, Chinese",450,Delivery
Cuppa,3.3,Whitefield,"Fast Food, Street Food, Beverages",400,Delivery
Five Star Chicken,3.5,Whitefield,Fast Food,300,Delivery
PMR Restaurant,3.3,Whitefield,North Indian,300,Delivery
Siddharth Restaurant,3.6,Whitefield,"North Indian, Chinese",400,Delivery
Delhi Belli,3.3,Whitefield,North Indian,500,Delivery
Clean Eats,3.7,Whitefield,Healthy Food,300,Delivery
Hangout Junction,3.6,Whitefield,"North Indian, Chinese, South Indian",400,Delivery
Swad Rajasthani Bhojanalaya,3.1,Whitefield,"North Indian, Fast Food",400,Delivery
Food Xpress,3.4,Whitefield,"North Indian, South Indian, Biryani, Chinese",400,Delivery
Arzak,3.7,Whitefield,"Arabian, Middle Eastern, Rolls, Seafood, BBQ",300,Delivery
Best,3.4,Whitefield,"Fast Food, Chinese, Street Food",400,Delivery
Shanghai Times,3.3,Whitefield,Chinese,400,Delivery
Whooppeezz,3.4,Whitefield,Pizza,500,Delivery
Neerav Chinese Cuisine,3.7,Whitefield,Chinese,300,Delivery
LG Park Restaurant,3.4,Whitefield,"North Indian, South Indian",800,Delivery
La Mirch,3.1,Whitefield,"North Indian, Kashmiri",400,Delivery
Tarama Bengali Food,3.2,Whitefield,Bengali,200,Delivery
@99,3.4,Whitefield,"Mughlai, Biryani, Chinese, North Indian",200,Delivery
Hunger Genie,4,Whitefield,"North Indian, Chinese, Biryani",450,Delivery
Punjabi Tadka,3.2,Whitefield,"North Indian, Chinese",400,Delivery
Sweet Tooth - Do you have one?,3.3,Whitefield,"Bakery, Desserts",600,Delivery
Tiwari's Cafe,3.7,Whitefield,"Street Food, Desserts",300,Delivery
Sweet Nothings Couture Cupcakes,3.4,Whitefield,"Desserts, Bakery",250,Delivery
Ande Ka Funda,3.1,Whitefield,"North Indian, Chinese, Rolls",250,Delivery
Orchard Fresh,3.7,Whitefield,"Ice Cream, Desserts",400,Delivery
Punjabi By Flavour,3.7,Whitefield,"North Indian, Chinese",400,Delivery
Golden Paradise,3.5,Whitefield,"North Indian, Chinese",300,Delivery
Andhra Spice,3.7,Whitefield,"Andhra, Chinese",300,Delivery
Yummy Beeriyaniz,3.7,Whitefield,"Andhra, Hyderabadi, Chinese",400,Delivery
Joy Star Restaurant,3.7,Whitefield,"North Indian, Chinese",350,Delivery
Sri Rajarajeswari Andhra Mess,3.7,Whitefield,"South Indian, Andhra",200,Delivery
Shiv Shakthi Hotel,3.7,Whitefield,"South Indian, Chinese, North Indian",200,Delivery
Umami & Beyond,3.7,Whitefield,"American, Thai, Healthy Food",500,Delivery
Foodies Hut,3.7,Whitefield,North Indian,500,Delivery
The Parrot House,3.7,Whitefield,"North Indian, Sandwich, Beverages",200,Delivery
Win's Restaurant,3.3,Whitefield,"South Indian, Chinese, Seafood",400,Delivery
The Pastry Inn,3.4,Whitefield,"Desserts, Bakery",400,Delivery
Biryani Treats,3.1,Whitefield,Biryani,650,Delivery
New Taj Darbar,3.1,Whitefield,"South Indian, Chinese, North Indian",300,Delivery
Dakshin Family Resturant,3.7,Whitefield,"South Indian, Hyderabadi, Chettinad",600,Delivery
Rawat Food Paradise,3.7,Whitefield,"North Indian, Chinese",300,Delivery
Spoon Me,3.5,Whitefield,"Bengali, North Indian, Chinese",400,Delivery
Odia Oota - A Class Of It's Own Flavors,3.7,Whitefield,"Bengali, Oriya, South Indian",300,Delivery
Homemade Chocolates,3.7,Whitefield,Desserts,300,Delivery
Mayuri Delux Restaurant,3.7,Whitefield,"Andhra, North Indian, Chinese",550,Delivery
Punjabi Chulha,3.7,Whitefield,North Indian,400,Delivery
Amrutha Hotel,3.7,Whitefield,"Andhra, North Indian",300,Delivery
Ghar ka Khana,3.7,Whitefield,North Indian,300,Delivery
Cheezy Subs & Sandwiches,3.7,Whitefield,"Fast Food, Sandwich",350,Delivery
Night Punjabi Folk,3.7,Whitefield,"Continental, North Indian, Chinese",200,Delivery
